Time,"Nov2021","Dec2021","Jan2022","Feb2022","Mar2022","Apr2022","May2022","Jun2022","Jul2022","Aug2022","Sep2022","Oct2022","Nov2022","Dec2022","Jan2023"
"Myanmar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",0,5.2303,0,0,0.2377,0,2.1397,1.9653,0,0,0,0,0,0,0
"New Zealand",7.6157,6.6568,20.2081,5.7907,8.0832,14.4943,20.4458,8.843999999999999,3.5661,13.3135,42.5003,1.6642,14.74,9.271900000000001,19.7326
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",1245,1062,1218,1158,1134,1100,1145,1009,942,902,870,1098,958,1328,1293
"Norway",1663.409,1697.2397,1514.6539,1532.96,1699.1416,1513.061,1636.3777,1287.2933,1515.6048,1593.1087,1544.2607,1602.8561,1653.828,1596.6748,1801.6084
"Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",27.3667,3.2258,16.3226,16.1429,0,14.2333,12.3226,58.9,23.5484,19.871,24.9333,6.6774,17.1333,0,0
"Philippines",6.7333,0,0,5.1786,0,0,0,4.8667,0,0,0,0,0,0,0
"Poland",4.9133,4.7548,4.9926,2.6321,4.7548,2.4567,4.9926,2.4567,2.3774,4.7548,2.4567,6.6568,2.7023,2.3774,4.7548
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0.7505,0.7263,0.4842,1.0721,0.7263,1.501,0.7263,0.7505,0.7263,0.7263,1.0007,0.7263,0.7505,0.7263,0
"Russian Federation",4291.5833,4627.1613,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saudi Arabia",6949,6937,6996,7307,7235,7382,7050,7196,7384,7601,7721,7773,7280,7437,7658
"Singapore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syria (Arab Rep.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",0,19.2753,9.7395,21.3405,18.4634,0,19.2753,18.0313,0,18.8697,10.0641,8.5215,19.9179,18.6669,0
"Trinidad/Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",35.374,21.3335,53.0858,28.2882,5.4574,66.3903,16.1242,5.383,0,0,0,0,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",645.8577,601.2494,640.0013,494.5796,747.2229,481.7523,607.4306,471.1887,518.5152000000001,397.98,464.5557,594.1171000000001,544.8887,509.2432,444.1019
"United States of America",3110.3667,3480.0323,3347.0645,3309.0357,3318.8065,3239.2667,3442.1935,3571.8,3795.6452,3652.7419,3505.4333,4146.129,4042.1667,3852.6452,3538.0968
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,386,548,494,483,271,399,442,481,474,541,410,340,466
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
